condition,n,Q1_hinglish_R@1,Q2_english_question_R@1,Q3_english_plus_caption_R@1
skin_rash,1050,0.07142857142857142,0.14,0.11523809523809524
neck_swelling,276,0.13768115942028986,0.11594202898550725,0.21014492753623187
mouth_ulcers,196,0.12755102040816327,0.14795918367346939,0.08673469387755102
lip_swelling,193,0.21243523316062177,0.24870466321243523,0.45595854922279794
swollen_tonsils,174,0.04597701149425287,0.06896551724137931,0.06896551724137931
foot_swelling,172,0.09883720930232558,0.0755813953488372,0.18604651162790697
hand_lump,162,0.17901234567901234,0.48148148148148145,0.654320987654321
swollen_eye,152,0.13815789473684212,0.1118421052631579,0.4868421052631579
knee_swelling,115,0.30434782608695654,0.2956521739130435,0.391304347826087
edema,112,0.08035714285714286,0.08035714285714286,0.044642857142857144
eye_redness,92,0.06521739130434782,0.17391304347826086,0.21739130434782608
skin_growth,81,0.08641975308641975,0.04938271604938271,0.20987654320987653
skin_irritation,77,0.12987012987012986,0.24675324675324675,0.36363636363636365
skin_dryness,65,0.13846153846153847,0.06153846153846154,0.07692307692307693
dry_scalp,44,0.2727272727272727,0.3409090909090909,0.3409090909090909
eye_inflammation,25,0.12,0.2,0.08
cyanosis,15,0.0,0.06666666666666667,0.06666666666666667
itchy_eyelid,14,0.0,0.0,0.0
