condition,n,n_unique_descriptions,grounded_factual,grounded_ci_lo,grounded_ci_hi,grounded_coverage,zero_factual,zero_ci_lo,zero_ci_hi,zero_coverage
skin_rash,457,64,0.13086757990867579,0.06822461877825983,0.2334565505235848,0.7986870897155361,0.0776603498542274,0.04615568941040044,0.19960367904223833,0.8577680525164114
neck_swelling,103,28,0.17605363984674327,0.11058940972222223,0.25102840909090895,0.8446601941747572,0.08837535014005603,0.04453981937602627,0.13759745293466222,0.6601941747572816
lip_swelling,71,32,0.23188405797101447,0.12402982605407449,0.3382390077243018,0.647887323943662,0.06870748299319727,0.026921768707482994,0.11739212779973646,0.6901408450704225
swollen_tonsils,71,25,0.125,0.07389712488769093,0.18833333333333332,0.7887323943661971,0.0830357142857143,0.03207547169811321,0.145,0.7887323943661971
mouth_ulcers,70,27,0.19384057971014493,0.11622640882509302,0.2916849415204676,0.6571428571428571,0.123015873015873,0.028455284552845524,0.21154279279279273,0.6
hand_lump,61,18,0.10925925925925925,0.03906111480496454,0.18589743589743588,0.7377049180327869,0.14215686274509803,0.03225806451612903,0.24786324786324784,0.5573770491803278
edema,48,13,0.2234567901234568,0.12666666666666665,0.34444444444444444,0.5625,0.29333333333333333,0.13157894736842105,0.4393939393939394,0.5208333333333334
foot_swelling,48,24,0.203125,0.09332843137254901,0.3260869565217391,0.6666666666666666,0.2892156862745098,0.17156862745098042,0.429831635540464,0.7083333333333334
swollen_eye,47,20,0.15476190476190474,0.041666666666666664,0.30666666666666664,0.5957446808510638,0.08908045977011493,0.0,0.20573299632352934,0.6170212765957447
knee_swelling,37,18,0.23076923076923078,0.10576923076923077,0.38,0.7027027027027027,0.1896551724137931,0.09259259259259259,0.3103448275862069,0.7837837837837838
eye_redness,37,17,0.17666666666666664,0.06989247311827956,0.3333333333333333,0.6756756756756757,0.09876543209876543,0.017857142857142856,0.21840722495894885,0.7297297297297297
skin_growth,32,23,0.2533333333333333,0.1111111111111111,0.42857142857142855,0.78125,0.275,0.14285714285714285,0.41304347826086957,0.625
skin_irritation,29,9,0.11515151515151514,0.037037037037037035,0.21666666666666665,0.7586206896551724,0.15526315789473685,0.029411764705882353,0.2608695652173913,0.6551724137931034
skin_dryness,25,10,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.48
dry_scalp,13,8,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.6153846153846154
eye_inflammation,10,10,0.05555555555555555,0.0,0.16666666666666666,0.6,0.0,0.0,0.0,0.5
cyanosis,4,4,0.0,0.0,0.0,0.5,0.08333333333333333,0.0,0.25,1.0
itchy_eyelid,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
