system,fire_rate,mean_kept,precision,recall_hit
adaptive(ratio=0.5),0.0,10.0,0.11353233830845771,0.6082918739635158
adaptive(ratio=0.2),0.0,10.0,0.11353233830845771,0.6082918739635158
adaptive(ratio=0.1),0.010281923714759536,9.908126036484246,0.11389718076285239,0.6033167495854063
adaptive(ratio=0.05),0.1495854063018242,8.699502487562189,0.11480928689883912,0.5412935323383085
adaptive(ratio=0.02),0.6673300165837479,4.536318407960199,0.11244241754192004,0.32338308457711445
adaptive(ratio=0.01),0.9555555555555556,2.098507462686567,0.11267301060833398,0.1933665008291874
fixed_k=1,,1.0,0.11409618573797678,0.11409618573797678
fixed_k=3,,3.0,0.11498065229408512,0.2915422885572139
fixed_k=5,,5.0,0.11376451077943615,0.4132669983416252
fixed_k=10,,10.0,0.11353233830845771,0.6082918739635158
